t,u1,u2,u3
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01,5.000000000000000000e-01
1.001001001001000992e-02,1.003949842569853423e+00,8.049343017060205385e-01,4.839024417754811402e-01
2.002002002002001985e-02,1.007789102064440501e+00,8.097248933375716939e-01,4.676443863150168134e-01
3.003003003003002977e-02,1.011514456961473352e+00,8.143683789100611969e-01,4.512298483785122660e-01
4.004004004004003969e-02,1.015122677456212319e+00,8.188614414124398833e-01,4.346630213769600570e-01
5.005005005005004615e-02,1.018610625461465080e+00,8.232008428072024042e-01,4.179482773724397249e-01
6.006006006006005954e-02,1.021975254607587980e+00,8.273834240303867826e-01,4.010901670781177319e-01
7.007007007007007293e-02,1.025213610242483808e+00,8.314061049915745238e-01,3.840934198582477421e-01
8.008008008008007939e-02,1.028322829431604468e+00,8.352658845738907267e-01,3.669629437281704543e-01
9.009009009009008584e-02,1.031299398420319591e+00,8.389592648255648211e-01,3.497022354481597040e-01
1.001001001001000923e-01,1.034136408220763581e+00,8.424801208687136000e-01,3.323077814705254762e-01
1.101101101101101126e-01,1.036831401572964939e+00,8.458257949053974434e-01,3.147858671818830611e-01
1.201201201201201191e-01,1.039382853241392457e+00,8.489943785968544487e-01,2.971445001004632824e-01
1.301301301301301394e-01,1.041789344524154837e+00,8.519840735657889796e-01,2.793916040890146446e-01
1.401401401401401459e-01,1.044049563252999802e+00,8.547931913963715544e-01,2.615350193548033886e-01
1.501501501501501523e-01,1.046162303793314319e+00,8.574201536342387353e-01,2.435825024496133806e-01
1.601601601601601588e-01,1.048126467044125265e+00,8.598634917864933502e-01,2.255417262697461400e-01
1.701701701701701652e-01,1.049941060438098317e+00,8.621218473217046041e-01,2.074202800560210336e-01
1.801801801801801717e-01,1.051605197941538616e+00,8.641939716699074125e-01,1.892256693937748591e-01
1.901901901901901781e-01,1.053118100054390771e+00,8.660787262226034011e-01,1.709653162128622339e-01
2.002002002002001846e-01,1.054479093810239076e+00,8.677750823327600171e-01,1.526465587876554841e-01
2.102102102102102188e-01,1.055687612776306628e+00,8.692821213148108628e-01,1.342766517370445611e-01
2.202202202202202252e-01,1.056743197053455763e+00,8.705990344446559170e-01,1.158627660244372082e-01
2.302302302302302317e-01,1.057645493276189175e+00,8.717251229596612028e-01,9.741198895775848854e-02
2.402402402402402382e-01,1.058394254612647689e+00,8.726597980586590086e-01,7.893132418945181250e-02
2.502502502502502724e-01,1.058989340764612042e+00,8.734025809019476672e-01,6.042769171647749404e-02
2.602602602602602788e-01,1.059430717967502877e+00,8.739531026112917766e-01,4.190792788031422189e-02
2.702702702702702853e-01,1.059718458990378975e+00,8.743111042699219793e-01,2.337878536695786602e-02
2.802802802802802917e-01,1.059852743135939690e+00,8.744764369225354050e-01,4.846933206922088289e-03
2.902902902902902982e-01,1.059833856240522731e+00,8.744490615752950058e-01,-1.368104322476154655e-02
3.003003003003003046e-01,1.059662190674106164e+00,8.742290491958299992e-01,-3.219864220854390391e-02
3.103103103103103111e-01,1.059338245340306184e+00,8.738165807132358687e-01,-5.069944568035827936e-02
3.203203203203203175e-01,1.058862625676379565e+00,8.732119470180743637e-01,-6.917711923162034315e-02
3.303303303303303240e-01,1.058236043653221881e+00,8.724155489623730553e-01,-8.762541210922769608e-02
3.403403403403403304e-01,1.057459317775367724e+00,8.714278973596260025e-01,-1.060381572155608687e-01
3.503503503503503369e-01,1.056533373080991822e+00,8.702496129847934192e-01,-1.244092711084819336e-01
3.603603603603603434e-01,1.055459241141907700e+00,8.688814265743013410e-01,-1.427327540013361151e-01
3.703703703703703498e-01,1.054238060063568128e+00,8.673241788260425134e-01,-1.610026897629501796e-01
3.803803803803803563e-01,1.052871074485065783e+00,8.655788203993755037e-01,-1.792132459176338788e-01
3.903903903903903627e-01,1.051359635579132368e+00,8.636464119151251451e-01,-1.973586736451787838e-01
4.004004004004003692e-01,1.049705201052138825e+00,8.615281239555823145e-01,-2.154333077808591179e-01
4.104104104104104311e-01,1.047909335144096010e+00,8.592252370645043769e-01,-2.334315668154312018e-01
4.204204204204204376e-01,1.045973708628653132e+00,8.567391417471144077e-01,-2.513479528951340081e-01
4.304304304304304440e-01,1.043900098813099753e+00,8.540713384701021926e-01,-2.691770518216882735e-01
4.404404404404404505e-01,1.041690389538364458e+00,8.512234376616232279e-01,-2.869135330522976091e-01
4.504504504504504570e-01,1.039346571179014855e+00,8.481971597112994976e-01,-3.045521496996477229e-01
4.604604604604604634e-01,1.036870740643258459e+00,8.449943349702190298e-01,-3.220877385319060870e-01
4.704704704704704699e-01,1.034265101372941809e+00,8.416169037509358963e-01,-3.395152199727236031e-01
4.804804804804804763e-01,1.031531963343550684e+00,8.380669163274705458e-01,-3.568295981012328255e-01
4.904904904904904828e-01,1.028673743064210555e+00,8.343465329353095816e-01,-3.740259606520486280e-01
5.005005005005005447e-01,1.025692963577685912e+00,8.304580237714056512e-01,-3.910994790152686473e-01
5.105105105105105512e-01,1.022592254460381156e+00,8.264037689941776677e-01,-4.080454082364719515e-01
5.205205205205205576e-01,1.019374351822339264e+00,8.221862587235108100e-01,-4.248590870167203715e-01
5.305305305305305641e-01,1.016042098307243347e+00,8.178080930407561899e-01,-4.415359377125588347e-01
5.405405405405405705e-01,1.012598443092415312e+00,8.132719819887311852e-01,-4.580714663360132555e-01
5.505505505505505770e-01,1.009046441888816537e+00,8.085807455717195502e-01,-4.744612625545929774e-01
5.605605605605605835e-01,1.005389256941047860e+00,8.037373137554709723e-01,-4.907009996912888861e-01
5.705705705705705899e-01,1.001630157027349810e+00,7.987447264672014047e-01,-5.067864347245747414e-01
5.805805805805805964e-01,9.977725174596013824e-01,7.936061335955928442e-01,-5.227134082884064004e-01
5.905905905905906028e-01,9.938198200833218143e-01,7.883247949907937757e-01,-5.384778446722214840e-01
6.006006006006006093e-01,9.897756532776693650e-01,7.829040804644183948e-01,-5.540757518209412646e-01
6.106106106106106157e-01,9.856469447064527545e-01,7.773502649311448964e-01,-5.695019606320140815e-01
6.206206206206206222e-01,9.814416881857711550e-01,7.716704958089253275e-01,-5.847519048048186452e-01
6.306306306306306286e-01,9.771636425402142612e-01,7.658682199084639874e-01,-5.998233237340065971e-01
6.406406406406406351e-01,9.728165153158493395e-01,7.599468354739975506e-01,-6.147140801121686593e-01
6.506506506506506415e-01,9.684039814751552733e-01,7.539097084285254491e-01,-6.294221514308306897e-01
6.606606606606606480e-01,9.639296833970222300e-01,7.477601723738096506e-01,-6.439456299804537931e-01
6.706706706706706544e-01,9.593972308767519941e-01,7.415015285903745479e-01,-6.582827228504344319e-01
6.806806806806806609e-01,9.548102011260577449e-01,7.351370460375075133e-01,-6.724317519291044265e-01
6.906906906906906674e-01,9.501721387730641677e-01,7.286699613532582331e-01,-6.863911539037307330e-01
7.007007007007006738e-01,9.454865558623072319e-01,7.221034788544391514e-01,-7.001594802605155543e-01
7.107107107107106803e-01,9.407569318547347459e-01,7.154407705366254699e-01,-7.137353972845965622e-01
7.207207207207206867e-01,9.359867136277054689e-01,7.086849760741547044e-01,-7.271176860600463421e-01
7.307307307307306932e-01,9.311793154749901102e-01,7.018392028201271282e-01,-7.403052424698732814e-01
