epoch,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13
0,0.98688334,0.98169965,0.9914637,0.9954246,0.9864415,1.0146031,0.98298717,0.9829342,0.98553777,0.98369396,1.0070417,0.98809266,0.9887222
1,0.9793226,0.9713107,0.9819991,0.98206156,0.9745658,1.0028595,0.9694604,0.9696669,0.97309667,0.97455287,0.98816365,1.0052617,0.9708031
2,0.96236366,0.9892876,0.96218866,0.99707997,0.95190865,0.9795506,0.94673187,0.9489035,0.9621241,0.9742131,0.96445274,1.0289384,0.9466764
3,0.9633228,0.9949008,0.9452473,1.0156876,0.9255893,0.95389724,0.93134874,0.9546412,0.97622806,0.9529285,0.93731314,1.0536073,0.9217188
4,0.9760097,0.9816593,0.9241742,1.0206293,0.8972593,0.9266308,0.92714316,0.98044354,1.0030856,0.92443055,0.908969,1.0783044,0.8986791
5,0.99658835,0.9774941,0.898451,1.0116119,0.86822194,0.89878565,0.9249177,1.0098732,1.0331389,0.8935221,0.88248074,1.1025044,0.8798858
6,1.0232093,0.9877806,0.871436,0.9921881,0.84040207,0.87295496,0.919907,1.0385671,1.06259,0.86336523,0.85951316,1.1232334,0.8666847
7,1.051893,1.0125072,0.84467196,0.96531326,0.81441903,0.85017085,0.911957,1.0659155,1.0886011,0.836985,0.83903044,1.1422241,0.8535244
8,1.0808011,1.0446559,0.8193317,0.9345936,0.7894522,0.82944924,0.8997733,1.0925511,1.1102154,0.8154644,0.81997484,1.160616,0.8390795
9,1.1093752,1.078234,0.7957066,0.90290064,0.7645474,0.80948323,0.88509643,1.1183069,1.1292909,0.79674536,0.8014272,1.1787544,0.8229306
10,1.1373312,1.1124562,0.77334535,0.8700395,0.740342,0.79141337,0.86782295,1.1424185,1.1486518,0.7776921,0.78435856,1.1964294,0.8058173
11,1.1636839,1.1452239,0.7529318,0.83871883,0.7174183,0.77515346,0.85074526,1.1637899,1.166854,0.7604343,0.76897514,1.2139418,0.7874894
12,1.1879005,1.1749268,0.73471785,0.8104125,0.69599223,0.76045877,0.83392346,1.1820285,1.1825564,0.74651766,0.7547854,1.2307183,0.76903653
13,1.2094053,1.2016915,0.71967953,0.7842146,0.67623967,0.74755704,0.81831104,1.1968985,1.1964236,0.7356587,0.74178517,1.2470387,0.749996
14,1.2282455,1.2253958,0.7076792,0.7606895,0.657721,0.73539245,0.80448306,1.2090856,1.2067587,0.73016524,0.7293712,1.2631944,0.7299935
15,1.2443302,1.2462889,0.696771,0.74032193,0.640594,0.7242268,0.7908074,1.2185603,1.2152421,0.7277957,0.7174129,1.2788997,0.7098182
16,1.2577968,1.2647096,0.68803,0.7223064,0.62442863,0.713467,0.7795485,1.2257828,1.2226324,0.7280058,0.70569575,1.294574,0.68872535
17,1.2683243,1.2802922,0.68080676,0.7073053,0.60952646,0.7035304,0.7687805,1.2306786,1.23001,0.729334,0.6945144,1.3097157,0.6680511
18,1.2763551,1.2937394,0.6747339,0.69472593,0.5955585,0.69362277,0.7612995,1.23397,1.2358402,0.73355424,0.68368864,1.3246937,0.64729667
19,1.2831823,1.3053848,0.6679269,0.68570596,0.58185464,0.6832295,0.75566286,1.236472,1.2421265,0.7382557,0.6723758,1.3396237,0.6262502
20,1.2878318,1.3152491,0.6611735,0.679188,0.5690203,0.67358845,0.7516991,1.2370417,1.251401,0.7396781,0.661229,1.3544716,0.6049981
21,1.290704,1.3235626,0.6552091,0.6743704,0.5568019,0.6639412,0.750818,1.2365246,1.2599078,0.7431002,0.65054226,1.3688519,0.5844181
