epoch,IC_loss,ODE_loss,Data_loss
0,0.52425706,0.280203,0.5582229
1,0.3920923,0.8976852,5.513068
2,0.36703634,2.69572,3.830731
3,0.537573,2.9558403,2.4032345
4,0.86080915,3.856908,1.8306048
5,0.8883775,3.8464406,1.7038463
6,0.5784024,3.3868783,1.2976582
7,0.31470737,3.0421507,1.1422701
8,0.20970881,3.01305,1.0421484
9,0.19833569,3.12169,0.8384838
10,0.2178547,2.843736,0.81074876
11,0.22133152,2.639202,0.78225076
12,0.21158893,2.4503672,0.6927196
13,0.20524792,2.2089794,0.69550884
14,0.19316044,2.1785004,0.62700903
15,0.19961378,2.0465956,0.61014175
16,0.19221088,2.034434,0.53185683
17,0.18493244,1.8747778,0.55713
18,0.17282353,1.9284964,0.58229965
19,0.17875187,1.9666977,0.47129878
20,0.1769314,1.8673694,0.4530209
21,0.15819995,1.8668743,0.4389872
22,0.14715567,1.8675632,0.36603647
23,0.1529069,1.7843157,0.3816258
24,0.12983675,1.8308084,0.3345311
25,0.12418381,1.7765844,0.325064
26,0.112926304,1.7945684,0.26264295
27,0.10183449,1.7628809,0.25788388
28,0.092989355,1.7566532,0.24709204
29,0.089259066,1.797463,0.21928999
30,0.08100556,1.7943636,0.18207642
31,0.08048113,1.7229831,0.19249442
32,0.06595628,1.7841498,0.15798087
33,0.06615932,1.7684237,0.13958684
34,0.06212945,1.7157764,0.15899856
35,0.05515946,1.7767713,0.14097205
36,0.057108186,1.7543167,0.12611292
37,0.04995203,1.7362969,0.12720999
38,0.04710704,1.7839358,0.12068154
39,0.04700418,1.7394011,0.10372285
40,0.04529228,1.7029663,0.11766865
41,0.0401085,1.7498156,0.10736307
42,0.040588874,1.7100785,0.10950796
43,0.036520466,1.717165,0.07936716
44,0.04210381,1.6520674,0.10389745
45,0.034278627,1.6682537,0.08513714
46,0.038384024,1.6077769,0.10161676
47,0.034146238,1.6074324,0.09381817
48,0.033347048,1.6010005,0.089529455
49,0.03272725,1.5795949,0.08288044
50,0.033269793,1.5569766,0.0905685
51,0.03212161,1.5345532,0.083017305
52,0.03206234,1.5201132,0.08848261
53,0.02984083,1.5358875,0.08355428
54,0.031008989,1.4975364,0.081303105
55,0.030086461,1.4928336,0.08529423
56,0.029253105,1.4922633,0.07679922
57,0.027849594,1.4598604,0.08937125
58,0.029494708,1.4604063,0.07309438
59,0.02852281,1.4369996,0.075441435
60,0.026944196,1.4275023,0.08144863
61,0.027164092,1.416362,0.07716713
62,0.027841518,1.3978256,0.089489855
63,0.02548862,1.4281104,0.07450441
64,0.026346553,1.3958228,0.06981544
65,0.027104352,1.3667558,0.07904998
66,0.024319028,1.3714385,0.07820676
67,0.025136948,1.3652833,0.082059965
68,0.025249744,1.3638496,0.07268654
69,0.025311297,1.3369642,0.07257147
70,0.024220994,1.3428756,0.07455586
71,0.023911048,1.333464,0.06374349
72,0.024062593,1.2984481,0.06811632
73,0.02436774,1.2863775,0.06808903
74,0.02245842,1.2923453,0.073439166
75,0.022316907,1.2721152,0.06273843
76,0.024052352,1.2424629,0.073320076
77,0.022631746,1.25051,0.06155721
78,0.021502694,1.2276758,0.073203675
79,0.022416584,1.2317499,0.073153295
80,0.020603048,1.2369064,0.0599248
81,0.022022117,1.212342,0.066028036
82,0.019683387,1.2182143,0.05886067
83,0.022700077,1.1810064,0.06604132
84,0.019452501,1.1812607,0.072022915
85,0.019896742,1.1910455,0.064275585
86,0.02000103,1.1700122,0.056750864
87,0.022755722,1.1265863,0.06874486
88,0.0197956,1.1579291,0.05897794
89,0.019909661,1.1259243,0.06256029
90,0.019904517,1.1164737,0.06302774
91,0.018164342,1.1203387,0.06896393
92,0.019102082,1.1214513,0.060133673
93,0.01909328,1.0958439,0.06536812
94,0.018618021,1.0994143,0.05692655
95,0.018899966,1.0785922,0.058536164
96,0.019638855,1.0706834,0.06743477
97,0.018360864,1.0975206,0.06534834
98,0.019911882,1.0746422,0.05245772
99,0.019383451,1.0580306,0.053986467
100,0.017555902,1.0513904,0.05565828
101,0.017504359,1.0380099,0.058841247
102,0.019071605,1.0217835,0.057198055
103,0.016015682,1.0375197,0.056528408
104,0.018071607,1.0254318,0.05530293
105,0.015957488,1.0246265,0.053265017
106,0.017682957,1.0121233,0.06357274
107,0.01631536,1.0245622,0.055058826
108,0.017427523,1.0077124,0.054179154
109,0.016898237,1.0024765,0.04815759
110,0.017275382,0.99305403,0.050726674
111,0.016304243,0.9850553,0.06302072
112,0.016837759,0.9969783,0.054058887
113,0.01674111,0.991903,0.061309285
114,0.016605303,1.0018841,0.061774395
115,0.016388727,1.0094167,0.054153383
116,0.016889166,0.9998453,0.055020493
117,0.017696876,0.9902009,0.054674912
118,0.015565437,0.9925731,0.057056107
119,0.016156273,0.9996297,0.060072493
120,0.01608086,0.99585325,0.044869386
121,0.016962072,0.9726348,0.056631874
122,0.016210716,0.98579216,0.04844559
123,0.016121842,0.9732485,0.0572034
124,0.01482855,0.9837947,0.06293702
125,0.017710287,0.97919524,0.054242708
126,0.014808528,0.98188686,0.04504574
127,0.016181799,0.95717764,0.044536833
128,0.015706604,0.9522953,0.056869127
129,0.0150952265,0.96049595,0.048760753
130,0.016374942,0.9382621,0.0561248
131,0.015568783,0.94576675,0.042621706
132,0.016198289,0.93533915,0.052016757
133,0.015051062,0.93655777,0.048597243
134,0.015772743,0.92996424,0.051673807
135,0.013497186,0.9366194,0.04825234
136,0.015357067,0.92123556,0.056871146
137,0.0148713235,0.92614156,0.04815818
138,0.014875529,0.91966,0.052585293
139,0.01491862,0.9215069,0.057245243
140,0.014695649,0.93174446,0.052579153
141,0.015045224,0.926387,0.050775122
142,0.014846645,0.92327154,0.052676965
143,0.013812724,0.9265914,0.044591706
144,0.016011903,0.8967997,0.051781714
145,0.014488694,0.90145874,0.051825307
146,0.014954222,0.9003763,0.044226266
147,0.014940958,0.8840362,0.04930956
148,0.014213907,0.889722,0.046859704
149,0.01366175,0.8847045,0.04476101
150,0.013881271,0.866413,0.048475794
151,0.014531043,0.8666546,0.043543555
152,0.01350912,0.8699396,0.04885036
153,0.013756762,0.8699522,0.054264598
154,0.014187427,0.8752227,0.044417553
155,0.014096794,0.8596522,0.052452832
156,0.014279313,0.8681477,0.046391092
157,0.014441075,0.8686224,0.053450774
158,0.012195038,0.8723914,0.04740914
159,0.014729259,0.8620757,0.046611413
160,0.013282133,0.863866,0.051185094
161,0.014076913,0.85947907,0.043666895
162,0.013699273,0.8540227,0.050055467
163,0.012760462,0.86348504,0.048597388
164,0.013238685,0.85777694,0.054537963
165,0.013925311,0.8530127,0.04328349
166,0.01353188,0.8590679,0.043811332
167,0.01375295,0.8424436,0.047802918
168,0.013658216,0.8427003,0.042831063
169,0.013018062,0.83588725,0.050656516
170,0.012829168,0.8392662,0.046395943
171,0.013518542,0.841695,0.046543
172,0.012892669,0.8385167,0.047304243
173,0.012668801,0.834747,0.03952584
