t,u1,u2,u3
0.0,1.0005878,0.9996858,0.9845568
0.01001001,1.0158283,1.0052754,0.9602467
0.02002002,1.0305902,1.0104648,0.93560904
0.03003003,1.0448437,1.0152475,0.9106592
0.04004004,1.0585608,1.019619,0.8854113
0.05005005,1.0717146,1.0235752,0.8598799
0.06006006,1.0842819,1.027115,0.8340811
0.07007007,1.0962386,1.0302383,0.8080299
0.08008008,1.1075654,1.0329465,0.7817415
0.09009009,1.1182432,1.0352418,0.75523204
0.1001001,1.1282568,1.0371288,0.72851753
0.11011011,1.1375921,1.0386115,0.7016136
0.12012012,1.1462387,1.0396968,0.6745375
0.13013013,1.1541882,1.0403918,0.6473057
0.14014015,1.1614342,1.0407035,0.61993587
0.15015015,1.1679741,1.0406404,0.5924459
0.16016015,1.1738075,1.0402116,0.5648541
0.17017017,1.1789362,1.0394261,0.53717893
0.18018018,1.1833653,1.0382935,0.5094386
0.1901902,1.1871018,1.0368237,0.48165387
0.2002002,1.1901557,1.0350269,0.45384413
0.2102102,1.1925392,1.0329118,0.42602956
0.22022022,1.1942662,1.0304894,0.39822948
0.23023023,1.1953537,1.0277699,0.37046474
0.24024025,1.1958201,1.024762,0.3427562
0.25025025,1.1956853,1.021476,0.31512403
0.26026025,1.1949717,1.0179206,0.287589
0.27027026,1.1937014,1.0141059,0.26017043
0.2802803,1.1919003,1.010041,0.23288807
0.2902903,1.1895922,1.0057346,0.2057622
0.3003003,1.1868047,1.0011951,0.17880991
0.3103103,1.1835635,0.996431,0.15204975
0.3203203,1.1798966,0.9914514,0.12549917
0.33033034,1.1758306,0.9862644,0.099174306
0.34034035,1.1713932,0.9808784,0.07309039
0.35035035,1.1666114,0.97530043,0.047262296
0.36036035,1.1615119,0.9695398,0.021702006
0.37037036,1.1561215,0.9636033,-0.0035773665
0.3803804,1.1504649,0.9574995,-0.028565705
0.3903904,1.144568,0.95123607,-0.053252146
0.4004004,1.1384544,0.94482064,-0.077629
0.4104104,1.1321476,0.9382613,-0.10168818
0.4204204,1.1256702,0.93156505,-0.12542439
0.43043044,1.1190429,0.92473984,-0.14883183
0.44044045,1.1122864,0.9177933,-0.17190634
0.45045045,1.1054196,0.9107329,-0.19464517
0.46046045,1.0984607,0.9035657,-0.21704601
0.47047046,1.0914266,0.8962992,-0.23910813
0.4804805,1.0843335,0.8889403,-0.260831
0.4904905,1.077196,0.8814967,-0.28221458
0.5005005,1.0700288,0.87397426,-0.3032601
0.5105105,1.0628431,0.8663802,-0.32397008
0.5205205,1.0556521,0.85872144,-0.34434646
0.5305305,1.0484669,0.851003,-0.3643918
0.5405405,1.0412968,0.84323186,-0.38411003
0.5505506,1.0341508,0.8354134,-0.40350395
0.5605606,1.0270383,0.82755333,-0.4225778
0.5705706,1.0199662,0.8196568,-0.44133562
0.5805806,1.0129414,0.81172854,-0.45978165
0.5905906,1.00597,0.80377346,-0.47792107
0.6006006,0.9990579,0.79579514,-0.49575812
0.6106106,0.9922092,0.7877988,-0.5132972
0.6206206,0.9854287,0.7797874,-0.5305439
0.6306306,0.97871983,0.771764,-0.54750085
0.6406406,0.97208583,0.7637324,-0.56417555
0.6506507,0.96552944,0.7556944,-0.5805704
0.6606607,0.959053,0.74765366,-0.5966915
0.6706707,0.95265776,0.7396113,-0.61254156
0.6806807,0.9463458,0.7315699,-0.62812674
0.6906907,0.9401182,0.7235313,-0.64344954
0.7007007,0.9339751,0.7154961,-0.6585158
0.7107107,0.92791736,0.7074662,-0.67332816
0.7207207,0.921945,0.699442,-0.68789047
0.7307307,0.9160575,0.6914252,-0.7022076
0.7407407,0.9102557,0.683415,-0.71628165
0.7507508,0.90453756,0.6754131,-0.73011726
0.7607608,0.89890367,0.66741866,-0.7437172
0.7707708,0.89335203,0.6594328,-0.75708425
0.7807808,0.8878825,0.65145534,-0.770222
0.7907908,0.88249373,0.6434856,-0.783133
0.8008008,0.877184,0.63552415,-0.7958198
0.8108108,0.8719526,0.62757033,-0.8082858
0.8208208,0.86679757,0.6196238,-0.82053214
0.8308308,0.8617182,0.6116842,-0.83256286
0.8408408,0.8567124,0.6037513,-0.8443796
0.8508509,0.85177875,0.59582496,-0.8559843
0.8608609,0.8469163,0.5879041,-0.8673794
0.8708709,0.8421234,0.5799888,-0.87856704
0.8808809,0.8373978,0.57207847,-0.889549
0.8908909,0.83273906,0.5641726,-0.9003272
0.9009009,0.8281455,0.55627024,-0.91090393
0.9109109,0.823616,0.54837215,-0.92128086
0.9209209,0.8191483,0.5404769,-0.93146
0.9309309,0.8147423,0.5325845,-0.94144255
0.9409409,0.8103962,0.524694,-0.9512307
0.950951,0.8061094,0.51680607,-0.9608254
0.960961,0.8018806,0.50891924,-0.9702292
0.970971,0.79770863,0.50103396,-0.9794442
0.980981,0.7935932,0.4931495,-0.98847085
0.990991,0.789533,0.48526576,-0.99731153
1.001001,0.78552794,0.4773822,-1.0059679
1.011011,0.781577,0.46949878,-1.0144414
1.021021,0.7776798,0.461615,-1.0227334
1.031031,0.7738356,0.4537309,-1.0308459
1.041041,0.7700444,0.4458455,-1.0387815
1.051051,0.7663059,0.43795964,-1.0465405
1.061061,0.76261985,0.43007234,-1.0541246
1.071071,0.75898623,0.4221832,-1.0615369
1.081081,0.7554047,0.41429254,-1.0687784
1.091091,0.75187576,0.40639988,-1.0758499
1.1011012,0.74839914,0.39850518,-1.0827546
1.1111112,0.74497485,0.3906074,-1.0894935
1.1211212,0.7416036,0.3827069,-1.0960684
1.1311312,0.73828506,0.37480316,-1.1024811
1.1411412,0.7350201,0.36689678,-1.108734
1.1511512,0.73180866,0.35898617,-1.1148281
1.1611612,0.7286513,0.3510718,-1.1207663
1.1711712,0.72554857,0.3431534,-1.1265484
1.1811812,0.72250116,0.3352314,-1.1321781
1.1911912,0.71950895,0.32730386,-1.1376566
1.2012012,0.7165727,0.31937125,-1.1429858
1.2112112,0.71369314,0.31143335,-1.1481673
1.2212212,0.7108706,0.30349043,-1.1532027
1.2312312,0.7081062,0.29554155,-1.1580943
1.2412412,0.7054004,0.28758684,-1.1628438
1.2512512,0.70275337,0.27962527,-1.1674517
1.2612612,0.7001659,0.2716579,-1.1719213
1.2712712,0.6976391,0.2636834,-1.1762534
1.2812812,0.6951731,0.25570253,-1.1804507
1.2912912,0.69276863,0.2477136,-1.1845131
1.3013014,0.69042635,0.23971811,-1.1884431
1.3113114,0.6881476,0.2317147,-1.1922426
1.3213214,0.6859321,0.22370425,-1.1959121
1.3313314,0.68378043,0.2156854,-1.199454
1.3413414,0.6816939,0.20765904,-1.2028688
1.3513514,0.6796729,0.1996248,-1.2061583
1.3613614,0.67771775,0.19158247,-1.2093238
1.3713714,0.6758296,0.18353263,-1.2123657
1.3813814,0.67400867,0.17547467,-1.2152863
1.3913914,0.6722556,0.1674085,-1.2180861
1.4014014,0.6705708,0.15933505,-1.2207663
1.4114114,0.66895515,0.15125433,-1.223328
1.4214214,0.66740894,0.1431655,-1.2257715
1.4314314,0.6659329,0.13506892,-1.2280982
1.4414414,0.66452724,0.12696591,-1.2303079
1.4514514,0.6631923,0.11885563,-1.232403
1.4614614,0.6619297,0.110739864,-1.2343823
1.4714714,0.6607387,0.10261718,-1.2362474
1.4814814,0.6596204,0.09448818,-1.2379985
1.4914914,0.65857506,0.08635417,-1.2396363
1.5015016,0.65760314,0.07821468,-1.2411612
1.5115116,0.6567049,0.07007054,-1.2425723
1.5215216,0.6558805,0.061921753,-1.2438716
1.5315316,0.6551314,0.053769745,-1.2450582
1.5415416,0.65445673,0.045613684,-1.2461317
1.5515516,0.65385765,0.037455358,-1.2470933
1.5615616,0.6533341,0.02929417,-1.2479429
1.5715716,0.6528867,0.021131553,-1.2486795
1.5815816,0.65251535,0.012967028,-1.2493038
1.5915916,0.6522204,0.0048022643,-1.2498152
1.6016016,0.65200305,-0.0033634529,-1.2502147
1.6116116,0.65186226,-0.011528932,-1.2505003
1.6216216,0.6517993,-0.019693099,-1.2506725
1.6316316,0.65181375,-0.027855955,-1.2507311
1.6416416,0.6519059,-0.03601738,-1.2506753
1.6516516,0.6520765,-0.04417654,-1.2505053
1.6616616,0.6523248,-0.05233284,-1.2502202
1.6716716,0.6526519,-0.060485326,-1.2498196
1.6816816,0.6530571,-0.06863447,-1.2493035
1.6916916,0.6535413,-0.07677909,-1.2486708
1.7017018,0.6541046,-0.08491918,-1.2479208
1.7117118,0.6547462,-0.0930539,-1.2470531
1.7217218,0.6554667,-0.1011829,-1.2460679
1.7317318,0.6562662,-0.10930642,-1.2449626
1.7417418,0.6571451,-0.117423974,-1.2437394
1.7517518,0.6581029,-0.12553415,-1.2423958
1.7617618,0.6591394,-0.13363776,-1.2409313
1.7717718,0.6602547,-0.14173433,-1.2393459
1.7817818,0.6614493,-0.14982256,-1.2376378
1.7917918,0.6627221,-0.15790424,-1.2358068
1.8018018,0.6640736,-0.16597709,-1.2338526
1.8118118,0.66550374,-0.17404231,-1.2317744
1.8218218,0.66701204,-0.18209955,-1.2295704
1.8318318,0.66859806,-0.19014797,-1.2272412
1.8418418,0.6702621,-0.19818792,-1.2247859
1.8518518,0.67200327,-0.20621893,-1.2222025
1.8618618,0.6738219,-0.21424219,-1.2194912
1.8718718,0.675717,-0.22225627,-1.2166517
1.8818818,0.67768854,-0.2302613,-1.2136819
1.8918918,0.6797357,-0.23825786,-1.2105819
1.901902,0.6818583,-0.24624547,-1.2073506
1.911912,0.6840557,-0.25422427,-1.2039865
1.921922,0.6863275,-0.262194,-1.2004899
1.931932,0.68867296,-0.27015492,-1.1968585
1.941942,0.6910911,-0.27810654,-1.1930927
1.951952,0.69358194,-0.28605017,-1.189191
1.961962,0.6961442,-0.2939839,-1.1851532
1.971972,0.69877684,-0.30190977,-1.1809763
1.981982,0.7014798,-0.3098255,-1.1766617
1.991992,0.70425147,-0.3177329,-1.1722072
2.002002,0.7070912,-0.32563087,-1.1676126
