epoch,parameter1,parameter2
0,0.87000877,0.9497286
1,0.8253477,0.88530827
2,0.8062673,0.79187423
3,0.79903036,0.727507
4,0.7968414,0.65983766
5,0.79652244,0.58332044
6,0.79682744,0.5154676
7,0.79711264,0.44950002
8,0.79701394,0.38632622
9,0.7965832,0.3299836
10,0.79576296,0.2782623
11,0.79454124,0.23129635
12,0.7930633,0.19038153
13,0.7912853,0.1537665
14,0.7892809,0.12393183
15,0.7871525,0.09744874
16,0.78487474,0.07581942
17,0.7824473,0.058005456
18,0.7799503,0.04299618
19,0.7772787,0.032689355
20,0.7746221,0.022054285
21,0.7718852,0.015171281
22,0.7690381,0.008633178
23,0.7661527,0.0042779925
24,0.76320684,0.0007725592
25,0.7601482,-0.0014364803
26,0.75704217,-0.002669193
27,0.7538316,-0.0019363507
28,0.7506029,-0.004209506
29,0.7472225,-0.0037800544
30,0.7438869,-0.0058488073
31,0.74035513,-0.00465087
32,0.7367608,-0.0069946097
33,0.73302454,-0.005599277
34,0.72930855,-0.004070818
35,0.7255168,-0.0035860245
36,0.7215613,-0.0024045396
37,0.71756047,-0.0022024328
38,0.7133085,-0.002308401
39,0.70889133,-0.0009465537
40,0.7043803,-0.0025287736
41,0.69949466,-0.00013675867
42,0.6944142,-0.0004341295
43,0.6890527,0.0050587365
44,0.68333066,0.0066601005
45,0.67721844,0.013543627
46,0.6708713,0.018619714
47,0.6640677,0.026215151
48,0.65684134,0.033788912
49,0.64957184,0.038534593
50,0.6419305,0.042029757
51,0.63401264,0.045669217
52,0.62592316,0.04594144
53,0.61751014,0.047837567
54,0.6086878,0.049098138
55,0.59980166,0.04894097
56,0.5907806,0.048531674
57,0.58133334,0.0503436
58,0.57160354,0.049065888
59,0.56153303,0.049181946
60,0.5513241,0.04713941
61,0.54064995,0.04733564
62,0.5297245,0.04682634
63,0.5185489,0.045916352
64,0.50695044,0.047145512
65,0.4947781,0.046532713
66,0.48244834,0.04667399
67,0.46974465,0.044374704
68,0.4567497,0.044359967
69,0.44326922,0.043791704
70,0.42933208,0.042216502
71,0.4150435,0.04440371
72,0.40047377,0.04483438
73,0.38516238,0.043289904
74,0.36974964,0.04150344
75,0.35395518,0.042063307
76,0.33784777,0.042539068
77,0.32103345,0.040854763
78,0.30370876,0.042131037
79,0.28571066,0.041236393
80,0.26706895,0.042243853
81,0.247864,0.04282337
82,0.22776638,0.04106162
83,0.20743853,0.04066116
84,0.18636596,0.04155841
85,0.1645786,0.04119073
86,0.1420461,0.039455477
87,0.11890418,0.038946778
88,0.09514664,0.04022421
89,0.07089108,0.039467283
90,0.045900732,0.03974671
91,0.020182371,0.039016824
92,-0.005972066,0.03823942
93,-0.032657064,0.037567545
94,-0.059864886,0.03656603
95,-0.08785989,0.03487125
96,-0.11621285,0.03549372
97,-0.14544173,0.035740145
98,-0.17482801,0.033365317
99,-0.20486787,0.03319208
100,-0.23532797,0.034781337
101,-0.26621258,0.034223463
102,-0.297434,0.03147727
103,-0.32904786,0.03333988
104,-0.36110988,0.030459398
105,-0.3933684,0.02853517
106,-0.4255485,0.029367503
107,-0.45775673,0.03208507
108,-0.4900018,0.030620499
109,-0.52199423,0.03064811
110,-0.5536731,0.03190381
111,-0.5851427,0.032379936
112,-0.6159128,0.034902733
113,-0.6461283,0.033606257
114,-0.67623293,0.034355316
115,-0.7057033,0.036575813
116,-0.73500234,0.03713267
117,-0.76332915,0.037199024
118,-0.7908928,0.03954194
119,-0.81825405,0.04176121
120,-0.8446873,0.043413196
121,-0.870469,0.043421067
122,-0.8956156,0.046237256
123,-0.9202247,0.046338346
124,-0.94370586,0.048719395
125,-0.966887,0.05015747
126,-0.989522,0.051240608
127,-1.0114541,0.051393688
128,-1.0331341,0.053178683
129,-1.0538296,0.052761264
130,-1.0741857,0.051676612
131,-1.094013,0.04962138
132,-1.113055,0.050405554
133,-1.1317056,0.050460413
134,-1.1497235,0.050908975
135,-1.1674899,0.049320187
136,-1.1844989,0.049581118
137,-1.201127,0.04980637
138,-1.2171819,0.0478414
139,-1.2327418,0.04929561
140,-1.247628,0.04722635
141,-1.2624921,0.045180414
142,-1.2771809,0.043426923
143,-1.291191,0.04483084
144,-1.3051167,0.04533051
145,-1.318448,0.045461804
146,-1.3313528,0.044869807
147,-1.3439764,0.04529396
148,-1.3562931,0.04660829
149,-1.3682783,0.04610804
150,-1.38005,0.044472363
151,-1.3915168,0.044539936
152,-1.4026911,0.045116883
153,-1.4135138,0.0463758
154,-1.4241658,0.044523105
155,-1.434415,0.045307312
156,-1.4444742,0.045053963
157,-1.4540222,0.046413295
158,-1.4633226,0.048749838
159,-1.4724079,0.048323113
160,-1.4815198,0.048012182
161,-1.4906929,0.046876855
162,-1.499581,0.045638137
163,-1.5081996,0.044642042
164,-1.5165939,0.04550692
165,-1.5247508,0.04457372
166,-1.5328082,0.04476292
167,-1.540583,0.044053897
168,-1.5481855,0.044145696
169,-1.5556214,0.04287488
170,-1.5628662,0.041854225
171,-1.5700339,0.041557513
172,-1.577112,0.040313285
173,-1.5839816,0.04111767
174,-1.5908015,0.040527258
175,-1.5973339,0.040399525
176,-1.603776,0.039430596
177,-1.6100228,0.039448958
178,-1.6162214,0.03872145
179,-1.62236,0.038542937
180,-1.6283609,0.038017254
181,-1.634225,0.038431883
182,-1.6394662,0.036509078
183,-1.6448978,0.036437217
184,-1.6503584,0.036887683
185,-1.6558399,0.03695895
186,-1.66132,0.03705522
187,-1.6667591,0.03685233
188,-1.6720108,0.036777742
189,-1.6771095,0.035613336
190,-1.6820514,0.034725614
191,-1.6869278,0.03368428
192,-1.6917439,0.03351709
193,-1.6965265,0.03384733
194,-1.7012432,0.033100605
195,-1.7059978,0.032974776
196,-1.7105635,0.03187638
197,-1.7150468,0.031931315
198,-1.7195113,0.03120366
199,-1.7238036,0.031201415
200,-1.7280276,0.031139212
201,-1.7321343,0.031146733
202,-1.7360888,0.03070945
203,-1.7402037,0.030334588
204,-1.7442921,0.029605117
205,-1.7482129,0.029465131
206,-1.7520773,0.028895814
207,-1.7559266,0.028855944
208,-1.7595807,0.029048048
209,-1.7633255,0.02834801
210,-1.7669433,0.028256647
211,-1.7705177,0.027362086
212,-1.7739247,0.027243335
213,-1.7771045,0.027002878
214,-1.7803352,0.026834682
215,-1.7835648,0.026812494
216,-1.7866255,0.026268395
217,-1.7898495,0.025759974
218,-1.7930499,0.025843548
219,-1.7960514,0.025949782
220,-1.7991207,0.025651878
221,-1.8020316,0.025132485
222,-1.8048062,0.024620457
223,-1.8077027,0.02487586
224,-1.8105615,0.024259672
225,-1.8134739,0.023751553
226,-1.8164743,0.023127424
227,-1.8194705,0.02271373
228,-1.8224647,0.021616893
229,-1.8254316,0.020940354
230,-1.828275,0.020708201
231,-1.8310539,0.020110818
232,-1.8338436,0.01959914
233,-1.8366618,0.019065771
234,-1.8393099,0.01785995
235,-1.8411719,0.017301582
236,-1.8427058,0.018093519
237,-1.8442211,0.01816044
238,-1.8453096,0.0205331
239,-1.8466558,0.023025595
240,-1.8485867,0.022614352
241,-1.8507034,0.022074249
242,-1.8528589,0.020367157
243,-1.8551321,0.01792352
244,-1.8574449,0.016653603
245,-1.8598982,0.015680714
246,-1.8623986,0.015667554
247,-1.8647792,0.015074762
248,-1.8671575,0.014197625
249,-1.8695396,0.013658689
250,-1.8719258,0.01313914
251,-1.8742344,0.0133478865
252,-1.8765025,0.013501036
253,-1.8786879,0.01279081
254,-1.8808825,0.012214572
255,-1.8830719,0.011589059
256,-1.8852395,0.011426908
257,-1.8873411,0.011024962
258,-1.8893636,0.0107866675
259,-1.8913713,0.010632609
260,-1.8934206,0.010573049
261,-1.8953819,0.010165721
262,-1.8972833,0.009667992
263,-1.8990564,0.009006895
264,-1.9007087,0.009423552
265,-1.9024199,0.010065213
266,-1.9040383,0.009731367
267,-1.9054949,0.009741921
268,-1.9067696,0.009835816
269,-1.908024,0.010912243
270,-1.909424,0.010904902
271,-1.9109954,0.010563647
272,-1.9127275,0.010019947
273,-1.9143795,0.010024472
274,-1.9160239,0.009391457
275,-1.9176351,0.009158986
276,-1.9193044,0.008790731
277,-1.9208378,0.009183896
278,-1.9222478,0.008884058
279,-1.9232681,0.008332896
280,-1.9243187,0.007795199
281,-1.9254631,0.008795425
282,-1.9265778,0.009290702
283,-1.927853,0.009202176
284,-1.9291801,0.008909326
285,-1.9304171,0.008924124
286,-1.9315677,0.008568794
287,-1.9325131,0.00851928
288,-1.9337261,0.008577198
289,-1.93465,0.008510608
290,-1.935581,0.008520311
291,-1.9367361,0.008666724
292,-1.9380275,0.0082768835
293,-1.9391972,0.0073999325
294,-1.9404949,0.0077080685
295,-1.9414811,0.007315645
296,-1.9426317,0.0075952965
297,-1.943664,0.008795402
298,-1.944696,0.008564897
299,-1.945767,0.008286164
300,-1.9466672,0.007304542
301,-1.9475039,0.007229523
302,-1.9480746,0.0068795565
303,-1.948889,0.0075772796
304,-1.9497275,0.0068579228
305,-1.9501749,0.007865064
306,-1.9502344,0.008908347
307,-1.9502803,0.008528168
308,-1.9507347,0.0071572503
309,-1.9513677,0.008204229
310,-1.9523138,0.0081901755
311,-1.9534773,0.0072155953
312,-1.9546154,0.0066192048
313,-1.9556614,0.006170371
314,-1.9566059,0.00602001
315,-1.9575608,0.0059132753
316,-1.9585409,0.005792085
317,-1.9595635,0.005656392
318,-1.9603269,0.0055953185
319,-1.9606078,0.0058380254
320,-1.9606799,0.0058771526
321,-1.9609224,0.005787471
322,-1.9615692,0.006605464
323,-1.9624093,0.0066508106
324,-1.963317,0.006327236
325,-1.9641883,0.006890003
326,-1.964129,0.0061012395
327,-1.9636393,0.008498546
328,-1.9626758,0.008881051
329,-1.9616143,0.009325212
330,-1.9611522,0.01200679
331,-1.961262,0.011108631
332,-1.9616282,0.009030289
333,-1.9623886,0.0086812815
334,-1.9632026,0.008516866
335,-1.9641588,0.00831966
336,-1.9650713,0.0076404605
337,-1.9660034,0.0069245426
338,-1.9669172,0.0053925174
339,-1.9677373,0.0048851776
340,-1.9685425,0.004643489
341,-1.9693668,0.0047109704
342,-1.9702315,0.004807681
343,-1.9710608,0.0044184253
344,-1.971856,0.004589439
345,-1.9726038,0.004292194
346,-1.9732527,0.00452825
347,-1.9733267,0.00416659
348,-1.9734261,0.0060857954
349,-1.9731288,0.0060812756
350,-1.9731995,0.007073945
351,-1.9737078,0.005865759
352,-1.9744084,0.005234043
353,-1.975111,0.00540806
354,-1.9757204,0.0050769905
355,-1.976175,0.0058799577
356,-1.9766016,0.0047330996
