t,u0,u1
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001000992e-02,1.047171508098390103e+00,1.009111095220752152e-02
2.002002002002001985e-02,1.093403437105306519e+00,2.013901910737628947e-02
3.003003003003002977e-02,1.138714508875386278e+00,3.013664491382993943e-02
4.004004004004003969e-02,1.183123009286469296e+00,4.007784579367919264e-02
5.005005005005004615e-02,1.226646865220041738e+00,4.995685181703901634e-02
6.006006006006005954e-02,1.269303644959374200e+00,5.976826281400392238e-02
7.007007007007007293e-02,1.311110558189520603e+00,6.950704837464802277e-02
8.008008008008007939e-02,1.352084455997319523e+00,7.916854784902498110e-02
9.009009009009008584e-02,1.392241830871393082e+00,8.874847034716805416e-02
1.001001001001000923e-01,1.431598816702147392e+00,9.824289473909011972e-02
1.101101101101101126e-01,1.470171189089565900e+00,1.076482675897726532e-01
1.201201201201201191e-01,1.507974629052188487e+00,1.169595939714213884e-01
1.301301301301301394e-01,1.545024235749731911e+00,1.261736388492175065e-01
1.401401401401401459e-01,1.581334477314769504e+00,1.352894425745136964e-01
1.501501501501501523e-01,1.616919526391677353e+00,1.443061144321760303e-01
1.601601601601601588e-01,1.651793260136634078e+00,1.532228326405838392e-01
1.701701701701701652e-01,1.685969260217620169e+00,1.620388443516299348e-01
1.801801801801801717e-01,1.719460812814418649e+00,1.707534656507203596e-01
1.901901901901901781e-01,1.752280908618615740e+00,1.793660815567745537e-01
2.002002002002001846e-01,1.784442242833598424e+00,1.878761460222252988e-01
2.102102102102102188e-01,1.815957215174557549e+00,1.962831819330186633e-01
2.202202202202202252e-01,1.846837929868485384e+00,2.045867811086141685e-01
2.302302302302302317e-01,1.877096195654176958e+00,2.127866043019845665e-01
2.402402402402402382e-01,1.906743525782229609e+00,2.208823811996160069e-01
2.502502502502502724e-01,1.935791138015042989e+00,2.288739104215080089e-01
2.602602602602602788e-01,1.964249954626819061e+00,2.367610595211734337e-01
2.702702702702702853e-01,1.992130602403562323e+00,2.445437649856384565e-01
2.802802802802802917e-01,2.019443412643079583e+00,2.522220322354424837e-01
2.902902902902902982e-01,2.046198421154979741e+00,2.597959356246385965e-01
3.003003003003003046e-01,2.072405368260674230e+00,2.672656184407928848e-01
3.103103103103103111e-01,2.098073802821128098e+00,2.746312788214899103e-01
3.203203203203203175e-01,2.123213365461096291e+00,2.818939538585175097e-01
3.303303303303303240e-01,2.147833017730139904e+00,2.890558852966143011e-01
3.403403403403403304e-01,2.171941485505413549e+00,2.961193235660473655e-01
3.503503503503503369e-01,2.195547328715468538e+00,3.030864491987484421e-01
3.603603603603603434e-01,2.218658941340255097e+00,3.099593728283139837e-01
3.703703703703703498e-01,2.241284551411118819e+00,3.167401351900053785e-01
3.803803803803803563e-01,2.263432221010803325e+00,3.234307071207485618e-01
3.903903903903903627e-01,2.285109846273450263e+00,3.300329895591343488e-01
4.004004004004003692e-01,2.306325157384597535e+00,3.365488135454182683e-01
4.104104104104104311e-01,2.327085718581181073e+00,3.429799402215205628e-01
4.204204204204204376e-01,2.347398928151533060e+00,3.493280608310261881e-01
4.304304304304304440e-01,2.367272018435384151e+00,3.555947967191849801e-01
4.404404404404404505e-01,2.386712055823861256e+00,3.617816993329114883e-01
4.504504504504504570e-01,2.405725940759489312e+00,3.678902502207849201e-01
4.604604604604604634e-01,2.424320407736190397e+00,3.739218610330492520e-01
4.704704704704704699e-01,2.442502025299283286e+00,3.798778735216133962e-01
4.804804804804804763e-01,2.460277196045484338e+00,3.857595595400507005e-01
4.904904904904904828e-01,2.477652156622907942e+00,3.915681210435995041e-01
5.005005005005005447e-01,2.494632977731064738e+00,3.973046900891628042e-01
5.105105105105105512e-01,2.511225564120863396e+00,4.029703288353083668e-01
5.205205205205205576e-01,2.527435654594608838e+00,4.085660295422687271e-01
5.305305305305305641e-01,2.543268822006004015e+00,4.140927145719410785e-01
5.405405405405405705e-01,2.558730473260149463e+00,4.195512363878874940e-01
5.505505505505505770e-01,2.573825849313542413e+00,4.249423775553347049e-01
5.605605605605605835e-01,2.588559974271714914e+00,4.302668989567453028e-01
5.705705705705705899e-01,2.602935960498720114e+00,4.355276683422999451e-01
5.805805805805805964e-01,2.616958640307219142e+00,4.407272091406362891e-01
5.905905905905906028e-01,2.630633960099012736e+00,4.458670764962092137e-01
6.006006006006006093e-01,2.643967725798029189e+00,4.509487929925828920e-01
6.106106106106106157e-01,2.656965602850324348e+00,4.559738486524306800e-01
6.206206206206206222e-01,2.669633116224080727e+00,4.609437009375352279e-01
6.306306306306306286e-01,2.681975650409608392e+00,4.658597747487885354e-01
6.406406406406406351e-01,2.693998449419344965e+00,4.707234624261916744e-01
6.506506506506506415e-01,2.705706616787854291e+00,4.755361237488550663e-01
6.606606606606606480e-01,2.717105115571828655e+00,4.802990859349984265e-01
6.706706706706706544e-01,2.728198768350086123e+00,4.850136436419505981e-01
6.806806806806806609e-01,2.738992257223574089e+00,4.896810589661498292e-01
6.906906906906906674e-01,2.749490123815364839e+00,4.943025614431435510e-01
7.007007007007006738e-01,2.759696769270659100e+00,4.988793480475884889e-01
7.107107107107106803e-01,2.769616454256785154e+00,5.034125831932504402e-01
7.207207207207206867e-01,2.779253298963197505e+00,5.079033987330047184e-01
7.307307307307306932e-01,2.788611283101478655e+00,5.123528939588357645e-01
7.407407407407406996e-01,2.797694245905337773e+00,5.167621356018372580e-01
7.507507507507507061e-01,2.806505886130612026e+00,5.211321578322121173e-01
7.607607607607607125e-01,2.815049762055264804e+00,5.254639622592726100e-01
7.707707707707707190e-01,2.823329291479387937e+00,5.297585179314401316e-01
7.807807807807807254e-01,2.831347751725199036e+00,5.340167613362455379e-01
7.907907907907907319e-01,2.839108279637043708e+00,5.382395964003285904e-01
8.008008008008007383e-01,2.846613871581395117e+00,5.424278944894388443e-01
8.108108108108108558e-01,2.853867383446853090e+00,5.465824944084344272e-01
8.208208208208208623e-01,2.860871530644145011e+00,5.507042024012832604e-01
8.308308308308308687e-01,2.867628888106124929e+00,5.547937921510622816e-01
8.408408408408408752e-01,2.874141890287774892e+00,5.588520047799577783e-01
8.508508508508508816e-01,2.880412831166203613e+00,5.628795488492651655e-01
8.608608608608608881e-01,2.886443864240647361e+00,5.668771003593892077e-01
8.708708708708708945e-01,2.892237002532469070e+00,5.708453027498440191e-01
8.808808808808809010e-01,2.897794118585160117e+00,5.747847668992527304e-01
8.908908908908909074e-01,2.903116536874346121e+00,5.786968311669323795e-01
9.009009009009009139e-01,2.908202026782626071e+00,5.825907302187320891e-01
9.109109109109109204e-01,2.913054186575532167e+00,5.864678340141921131e-01
