t,u1,u2,f1,f2
0.0,0.9990293,0.9784465,0.45366758,-0.3138591
0.01001001,1.0359683,0.9484575,0.4554619,-0.309004
0.02002002,1.0729927,0.91928273,0.4573914,-0.3042934
0.03003003,1.1100538,0.8910313,0.45946234,-0.2997483
0.04004004,1.147107,0.86378336,0.46167633,-0.295385
0.05005005,1.1841094,0.8375944,0.46403214,-0.29121393
0.06006006,1.2210208,0.8124989,0.46652597,-0.28724098
0.07007007,1.2578033,0.7885141,0.4691514,-0.28346914
0.08008008,1.29442,0.76564187,0.4719003,-0.27989748
0.09009009,1.3308364,0.74387544,0.4747637,-0.27652368
0.1001001,1.3670186,0.7231992,0.4777316,-0.27334368
0.11011011,1.402934,0.70359236,0.4807933,-0.27035224
0.12012012,1.4385515,0.6850312,0.48393872,-0.26754397
0.13013013,1.4738418,0.6674895,0.48715746,-0.26491264
0.14014015,1.5087767,0.6509392,0.49043906,-0.26245186
0.15015015,1.5433308,0.6353529,0.49377456,-0.26015565
0.16016015,1.5774797,0.62070096,0.49715444,-0.25801772
0.17017017,1.6112019,0.6069547,0.5005705,-0.25603205
0.18018018,1.6444782,0.59408486,0.5040147,-0.25419235
0.1901902,1.6772908,0.58206195,0.5074792,-0.25249308
0.2002002,1.7096257,0.5708572,0.5109578,-0.2509286
0.2102102,1.7414708,0.5604401,0.51444376,-0.24949262
0.22022022,1.7728152,0.5507808,0.51793104,-0.24817964
0.23023023,1.8036511,0.5418488,0.5214142,-0.24698402
0.24024025,1.8339727,0.5336148,0.5248887,-0.24590048
0.25025025,1.863776,0.52604777,0.52834946,-0.24492277
0.26026025,1.8930577,0.519118,0.5317922,-0.24404626
0.27027026,1.9218172,0.51279557,0.5352131,-0.24326542
0.2802803,1.950055,0.50705135,0.53860843,-0.24257475
0.2902903,1.9777719,0.50185627,0.5419753,-0.24196962
0.3003003,2.004971,0.49718243,0.54531014,-0.24144515
0.3103103,2.031655,0.49300283,0.5486106,-0.24099672
0.3203203,2.0578272,0.48929006,0.5518737,-0.24061975
0.33033034,2.083493,0.48601884,0.5550978,-0.24030994
0.34034035,2.108656,0.48316503,0.5582802,-0.24006352
0.35035035,2.133322,0.4807049,0.5614197,-0.23987658
0.36036035,2.157497,0.47861543,0.5645146,-0.23974554
