epoch,parameter1,parameter2,parameter3,parameter4
0,1.0040241,0.99533296,0.99153036,1.0046352
1,1.0122495,0.9875297,0.9841921,1.0129447
2,1.0206529,0.98008513,0.9758135,1.0212574
3,1.0300363,0.97155213,0.9676305,1.0305498
4,1.039259,0.9634522,0.9589439,1.0395801
5,1.0489804,0.9546587,0.9496391,1.0492631
6,1.058839,0.9455507,0.9403825,1.0592314
7,1.0687441,0.936268,0.9300015,1.069352
8,1.0788047,0.92661995,0.91962785,1.0797563
9,1.0888814,0.91688174,0.9086555,1.090171
10,1.0989196,0.90714794,0.8978365,1.1004915
11,1.1089845,0.8973569,0.88703185,1.1107194
12,1.1189911,0.8876206,0.8763742,1.120754
13,1.1289653,0.87788707,0.8658054,1.1306391
14,1.1389554,0.86808205,0.8551801,1.1404289
15,1.148927,0.85824853,0.8445852,1.1500994
16,1.1589031,0.848365,0.8339345,1.1596525
17,1.1689392,0.83835214,0.82322586,1.1691555
18,1.1789006,0.8284199,0.81270283,1.1784298
19,1.1889646,0.8183189,0.8020005,1.1876426
20,1.1990054,0.8082232,0.79152524,1.1966972
21,1.2090006,0.7981923,0.78114897,1.2054983
22,1.219026,0.78809476,0.77080196,1.2141792
23,1.2290936,0.77791184,0.7604256,1.2227491
24,1.2391367,0.7677425,0.7501638,1.2311378
25,1.2492324,0.75748,0.7398324,1.2394009
26,1.2592893,0.74726033,0.7296266,1.2474443
27,1.2693217,0.73705554,0.7195732,1.255295
28,1.2793899,0.72678196,0.70944417,1.2629839
29,1.2894716,0.7164619,0.69936144,1.2705318
30,1.2995424,0.7061486,0.68936694,1.2778667
31,1.3095963,0.69585663,0.6794562,1.2849678
32,1.3196474,0.68555194,0.6696495,1.2918829
33,1.3296679,0.6752899,0.65988404,1.298523
34,1.3397638,0.6648919,0.6500995,1.3050573
35,1.349778,0.6546192,0.64051366,1.3112451
36,1.3598161,0.6442921,0.63104385,1.3172655
37,1.3698654,0.63395524,0.62154037,1.3229924
38,1.3798188,0.6237434,0.6123227,1.3284359
39,1.3898587,0.6133877,0.6030255,1.3337193
40,1.3998433,0.6031403,0.59378827,1.3385901
41,1.4098406,0.59284556,0.5847902,1.3433157
42,1.4197798,0.58266604,0.57585835,1.3476192
43,1.4297788,0.572381,0.56702644,1.3517532
44,1.4397087,0.5622151,0.55838126,1.3555101
45,1.4495965,0.5521047,0.54994273,1.3589715
46,1.4595301,0.5419263,0.54150236,1.3621494
47,1.4693755,0.5318863,0.5333252,1.3649489
48,1.4792643,0.5217787,0.5252064,1.3674927
49,1.4890623,0.5118264,0.5173164,1.3696064
50,1.4988656,0.50186074,0.5095724,1.3714418
51,1.5086526,0.4919281,0.5019627,1.3729185
52,1.5183724,0.48210603,0.49457008,1.3740044
53,1.5280994,0.47226566,0.4873116,1.3748008
54,1.5377814,0.46251276,0.4801992,1.3751783
55,1.5473981,0.4528531,0.47333488,1.3752493
56,1.557011,0.44321457,0.46656498,1.3749322
57,1.5665592,0.43368396,0.45999405,1.374213
58,1.5761011,0.4241451,0.45359877,1.3732432
59,1.5855831,0.4147235,0.44735608,1.3718059
60,1.5950322,0.4053489,0.44130722,1.3700726
61,1.6044353,0.39605364,0.43545052,1.3679659
62,1.6138041,0.38681746,0.42976883,1.3655168
63,1.6231111,0.37768227,0.4242677,1.3626927
64,1.6323528,0.3686436,0.41898793,1.3595535
65,1.6416134,0.35958788,0.41378918,1.3560566
66,1.6507593,0.35071337,0.40884757,1.3522164
67,1.6599059,0.34184816,0.40404913,1.3480637
68,1.6689036,0.33322498,0.399523,1.3435241
69,1.6779377,0.32454965,0.39507937,1.33871
70,1.6868507,0.3160661,0.3908626,1.3335675
71,1.6957319,0.307645,0.38677368,1.3280888
72,1.7045515,0.29932994,0.38286218,1.3222867
73,1.713336,0.29107532,0.37909248,1.3162273
74,1.7220389,0.28296039,0.37551677,1.3098803
75,1.7306666,0.2749815,0.37211004,1.3032255
76,1.7392278,0.26711246,0.36885014,1.2963231
77,1.7477691,0.25929397,0.3656944,1.2891369
78,1.7562191,0.25164872,0.3626813,1.2816185
79,1.7646188,0.24409111,0.35980067,1.2738795
80,1.7729436,0.23665483,0.35707128,1.265936
81,1.7811768,0.22941604,0.3544819,1.2575759
82,1.7893773,0.22217703,0.35203606,1.2492461
83,1.7974627,0.2151726,0.34970105,1.240514
84,1.8055128,0.20824218,0.34746343,1.2315749
85,1.8134855,0.20142539,0.34535664,1.2225509
86,1.8213459,0.19484216,0.34336638,1.2131629
87,1.8292024,0.18826795,0.34145272,1.2036865
88,1.8369591,0.18189493,0.3396453,1.1939436
89,1.8446348,0.17564504,0.33794862,1.1841458
90,1.8522497,0.16953586,0.33633003,1.1740974
91,1.8598118,0.16356583,0.33478105,1.1637684
92,1.8672752,0.15774016,0.3333343,1.153417
93,1.8746794,0.1520639,0.33195314,1.1428226
94,1.8820093,0.14651988,0.33065835,1.1321349
95,1.8892447,0.14116427,0.32943738,1.1212841
96,1.8964597,0.13588974,0.32825524,1.110241
97,1.9035848,0.13078243,0.32713583,1.0991126
98,1.9106449,0.12580553,0.3260794,1.0878947
99,1.917648,0.12097232,0.32508472,1.0764843
100,1.9245486,0.11631397,0.32415855,1.0650277
101,1.9313926,0.11181204,0.32327878,1.0533158
102,1.938156,0.107411884,0.32245246,1.0417105
103,1.9448758,0.10316536,0.32165796,1.0298232
104,1.9515132,0.099095665,0.3209178,1.0178052
105,1.9581052,0.09510942,0.32022756,1.005772
106,1.9645637,0.09138171,0.3195908,0.9936045
107,1.9710236,0.08767278,0.3189778,0.98140436
108,1.9774045,0.084173664,0.3183978,0.9689447
109,1.9837201,0.080779254,0.31784463,0.95654166
110,1.9900123,0.077457175,0.31731653,0.94406265
111,1.9961857,0.07438031,0.3168319,0.93142295
112,2.002342,0.07130894,0.31636953,0.9189047
113,2.0084248,0.068424165,0.3159317,0.90619636
114,2.014452,0.06565883,0.31551898,0.89342386
115,2.0204377,0.06297835,0.31513065,0.88061756
116,2.026308,0.06051343,0.3147707,0.86774737
117,2.032206,0.05804051,0.31441215,0.8548142
118,2.037988,0.055742834,0.31408298,0.84194106
119,2.0437508,0.05352059,0.31377012,0.82893384
120,2.049462,0.051388226,0.3134717,0.8159486
121,2.0551035,0.04938568,0.31319195,0.80292815
122,2.060745,0.047387354,0.3129165,0.78993297
123,2.0663016,0.04556703,0.3126664,0.77680844
124,2.0718338,0.043755427,0.3124277,0.763807
125,2.0773034,0.042086955,0.31220314,0.7507037
126,2.082773,0.040405877,0.3119818,0.737666
127,2.0881345,0.03887525,0.31177777,0.7246953
128,2.0935028,0.037347343,0.3115775,0.71166104
129,2.0987966,0.035936512,0.3113917,0.69862556
130,2.1040583,0.034542702,0.31121325,0.6856875
131,2.109278,0.033223044,0.3110441,0.6727092
132,2.114441,0.031963177,0.31088418,0.659817
133,2.119622,0.030655697,0.31072366,0.6469644
134,2.124727,0.02946712,0.3105747,0.6340965
135,2.129812,0.028233172,0.3104302,0.6214323
136,2.1348479,0.027096342,0.31029683,0.60868734
137,2.1398394,0.025986796,0.31016925,0.5960454
138,2.144787,0.024900092,0.31004643,0.583503
